Sexo,Anio,Nombre,Pais,Tiempo
Hombre,1908,C. Daniels, USA,65.6
Hombre,1912,D. Kahanamoku, USA,63.4
Hombre,1920,D. Kahanamoku, USA,61.4
Hombre,1924,J. Weissmuller, USA,59.0
Hombre,1928,J. Weissmuller, USA,58.6
Hombre,1932,Y. Miyazaki, Japan,58.2
Hombre,1936,F. Csik, Hungary, 57.6
Hombre,1948,W. Ris, USA, 57.3
Hombre,1952,C. Scholes, USA, 57.4
Hombre,1956,J. Henricks, Australia,55.4
Hombre,1960,J. Devitt, Australia,55.2
Hombre,1964,D. Schollander, USA,53.4
Hombre,1968,M. Wenden, Australia,52.2
Hombre,1972,M. Spitz, USA, 51.22
Hombre,1976,J. Montgomery, USA,49.99
Hombre,1980,J. Woithe, E. Germany,50.40
Hombre,1984,R. Gaines, USA, 49.80
Hombre,1988,M. Biondi, USA, 48.63
Hombre,1992,A. Popov, Russia, 49.02
Hombre,1996,A. Popov, Russia, 48.72
Hombre,2000,P. van den Hoogenband, Netherlands,48.30
Hombre,2004,P. van den Hoogenband, Netherlands,48.17
Hombre,2008,A. Bernard, France,47.21
Mujer,1912,F. Durack, Australia,82.2
Mujer,1920,E. Bleibtrey, USA,73.6
Mujer,1924,E. Lackie, USA, 72.4
Mujer,1928,A. Osipowich, USA,71.0
Mujer,1932,H. Madison, USA,66.8
Mujer,1936,H. Mastenbroek, Holland,65.9
Mujer,1948,G. Andersen, Denmark,66.3
Mujer,1952,K. Szoke, Hungary,66.8
Mujer,1956,D. Fraser, Australia,62.0
Mujer,1960,D. Fraser, Australia,61.2
Mujer,1964,D. Fraser, Australia,59.5
Mujer,1968,J. Henne, USA,60.0
Mujer,1972,S. Nielson, USA,58.59
Mujer,1976,K. Ender, E. Germany,55.65
Mujer,1980,B. Krause, E. Germany,54.79
Mujer,1984,C. Steinseifer, USA,55.92
Mujer,1984,N. Hogshead, USA,55.92
Mujer,1988,K. Otto, E. Germany,54.93
Mujer,1992,Z. Yong, China,54.64
Mujer,1996,L. Jingyi, China,54.50
Mujer,2000,I. DeBruijn, Netherlands,53.83
Mujer,2004,J. Henry, Australia,53.84
Mujer,2008,B. Steffen, Germany,53.12